p,data_generation,estimator_computation,metric_computation
100,0.0015086326,0.0042525085,0.00022424639999997
200,0.00239242929999999,0.00456334210000002,0.00022559150000001
500,0.01044359559999999,0.00553791219999997,0.00031092629999998
1000,0.06124316309999996,0.00896223699999997,0.00044487039999998
2000,0.4911862371000001,0.013853566699999851,0.00167487199999985
