p,data_generation,estimator_computation,metric_computation
100,0.0058184549999964,0.0263336230000019,0.0014923820000082
200,0.0127031300000002,0.0274785010000053,0.0015177480000065
500,0.0560405020000036,0.0313726629999972,0.0016685879999992
1000,0.2649200010000063,0.0395461679999947,0.0021352800000070003
2000,1.2061414139999975,0.048301673000002696,0.0024473629999874
