p,data_generation,estimator_computation,metric_computation
100,0.00754712549999985,0.016138081666666682,0.00037420766666658336
200,0.014541883999999916,0.0157372071666665,0.00035466949999983337
500,0.0991334021666667,0.0212899556666666,0.0005274664999998833
1000,0.5033443208333331,0.030750321499999966,0.0013658526666665335
2000,2.989727681166667,0.038313833333333484,0.0010435994999996665
