p,data_generation,estimator_computation,metric_computation
100,0.007450625,0.0891511569999997,0.0048015390000011
200,0.0121647499999998,0.0870735680000003,0.0046575059999991
500,0.0518324579999995,0.0951422539999992,0.0050496380000004
1000,0.2447789179999994,0.1058881339999997,0.0067241310000028
2000,1.153437375999997,0.12467705700000539,0.006007313000007199
