p,data_generation,estimator_computation,metric_computation
100,0.00082950400000003,0.0034203171999999697,0.0002157792
200,0.0017212251000000098,0.0036351909000000003,0.00020554620000000001
500,0.009991099500000041,0.0039511917999999705,0.00022757139999999998
1000,0.0696946125,0.00614124149999999,0.00031638420000003
2000,0.47241907010000006,0.00852341290000003,0.00068622560000011
