p,data_generation,estimator_computation,metric_computation
100,0.0052802840000056,0.0268803319999948,0.0014973420000003
200,0.0114255069999993,0.0279962059999982,0.0015296789999963
500,0.0517035469999962,0.032228454999999295,0.0017363310000016998
1000,0.256708793999997,0.047150914999996796,0.002901868999995
2000,1.1473664200000009,0.059048619999997595,0.0034408640000034
