p,data_generation,estimator_computation,metric_computation
100,0.0069764590000005,0.0280045780000505,0.0015513319999981
200,0.0149398800000426,0.029140963999942898,0.0015427120000808
500,0.0667488770000375,0.034451076000031694,0.0017130339999695
1000,0.2537733349999698,0.0390699959999735,0.0018421800000608998
2000,1.2251059209999011,0.05261474599998189,0.0026912460000545002
