p,data_generation,estimator_computation,metric_computation
100,0.0020074670999999903,0.01185770509999993,0.00067984169999994
200,0.0026990585,0.01205997209999997,0.00068306189999998
500,0.01005883759999999,0.013554069699999931,0.00073771669999997
1000,0.057042466,0.019997780999999982,0.00233800389999992
2000,0.4958119458,0.025420533599999982,0.0024257076000001104
