,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,1.0059292819775225,1.0781283096116956,1.1555093114509285,1.238444215726689,1.3273316452474384,1.4225988333608417,1.5247036774312388,1.634136939702299,1.7514246061231946,1.8771304144759189
500,0.749056691913118,0.8798561797679941,1.0334957359485444,1.2139636690458526,1.425944721881894,1.674941682118848,1.9674182283845107,2.3109667200371167,2.7145052862015833,3.188509330284946
1000,0.5322928340607042,0.6701169753149557,0.8436272890986434,1.0620638323293052,1.3370591474668638,1.6832577378178788,2.1190959407380907,2.667783729825049,3.3585407306477792,4.228152272358234
2000,0.32342247253986073,0.43638839475020774,0.5888113759602558,0.7944730900982426,1.0719689134077734,1.4463892681003747,1.9515882305069534,2.6332445251446317,3.552991671507972,4.793990720292726
