p,data_gen,computing_estimator,principal_angles
100,0.0145090769999998,0.0417605399999999,0.0022512859999999
200,0.0250142039999999,0.044178250000000197,0.0023376629999999
500,0.1047464969999999,0.0589801299999998,0.0030668810000002
1000,0.6247651259999999,0.0966255920000003,0.0045751599999999
2000,4.896879794,0.1661492519999992,0.025015035999998998
