,ARG1,PCA1,ARG2,PCA2
100,0.08494379213253615,0.08602418299640295,0.23051263600973207,0.21466589319009172
200,0.04572665501548644,0.06509239330708196,0.1542598097774046,0.14902841442073034
500,0.028214088547312284,0.0636764619206993,0.07621076204148215,0.09103295883567725
1000,0.014552828589115554,0.06302983279347045,0.060799872427271896,0.07752509070140423
2000,0.010681012736166083,0.05873538517119244,0.052163354339315286,0.05883741487087571
