,baseline,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,1.035653414259109,1.0378136013300923,0.986199108298708,0.9216855669511438,0.8382159678780927,0.716759438274856
200,0.9417117769004523,0.944224706755135,0.8715387416015656,0.7809800372760398,0.6588950319791228,0.45620125741703915
500,0.8491039240701644,0.8505682236098931,0.76921141184154,0.6634690081856925,0.5107342840236132,0.1795558395019588
1000,0.8225801150529886,0.8234224238674415,0.7419073808170442,0.6358553391719765,0.4794761607601846,0.0907422212236876
2000,0.806870223951535,0.8073387636205547,0.7289464333884561,0.6250795770695923,0.4692210813900086,0.0451961464398442
