snr,p,step,seconds_total,seconds_per_trial
0.01,100,alpha_accumulate,0.00016904200000003589,1.6904200000003588e-06
0.01,100,compute_discriminant,0.016014536999999912,0.0001601453699999991
0.01,100,data_gen_normal,0.007533206999999903,7.533206999999903e-05
0.01,100,inner_product,0.00019579599999983155,1.9579599999983156e-06
0.01,200,alpha_accumulate,0.0001631629999999662,1.631629999999662e-06
0.01,200,compute_discriminant,0.016307372999999792,0.0001630737299999979
0.01,200,data_gen_normal,0.01482775400000022,0.0001482775400000022
0.01,200,inner_product,0.0001972540000000078,1.972540000000078e-06
0.01,500,alpha_accumulate,0.00043491099999992677,4.349109999999268e-06
0.01,500,compute_discriminant,0.030827497000000093,0.00030827497000000093
0.01,500,data_gen_normal,0.14786779300000025,0.0014786779300000024
0.01,500,inner_product,0.00039266300000012633,3.926630000001263e-06
0.01,1000,alpha_accumulate,0.00038992000000048765,3.899200000004876e-06
0.01,1000,compute_discriminant,0.03698020399999963,0.0003698020399999963
0.01,1000,data_gen_normal,0.5921103790000001,0.005921103790000001
0.01,1000,inner_product,0.0011024139999994964,1.1024139999994965e-05
0.01,2000,alpha_accumulate,0.0003956200000008181,3.956200000008181e-06
0.01,2000,compute_discriminant,0.03936699300000179,0.00039366993000001794
0.01,2000,data_gen_normal,2.989881249999998,0.02989881249999998
0.01,2000,inner_product,0.000672458999999126,6.7245899999912596e-06
0.025,100,alpha_accumulate,0.0001602060000001071,1.602060000001071e-06
0.025,100,compute_discriminant,0.01575779300000002,0.00015757793000000019
0.025,100,data_gen_normal,0.007337290000000107,7.337290000000107e-05
0.025,100,inner_product,0.00020103900000001396,2.0103900000001398e-06
0.025,200,alpha_accumulate,0.00015228900000019419,1.5228900000019418e-06
0.025,200,compute_discriminant,0.014971166999999924,0.00014971166999999924
0.025,200,data_gen_normal,0.01372162900000004,0.0001372162900000004
0.025,200,inner_product,0.00018271200000014032,1.827120000001403e-06
0.025,500,alpha_accumulate,0.0001578370000001328,1.578370000001328e-06
0.025,500,compute_discriminant,0.016163084000000577,0.00016163084000000576
0.025,500,data_gen_normal,0.067605038,0.0006760503800000001
0.025,500,inner_product,0.00020304000000029299,2.03040000000293e-06
0.025,1000,alpha_accumulate,0.00033912499999977364,3.3912499999977362e-06
0.025,1000,compute_discriminant,0.03433332800000022,0.00034333328000000216
0.025,1000,data_gen_normal,0.5178315829999998,0.005178315829999998
0.025,1000,inner_product,0.001006914000000747,1.006914000000747e-05
0.025,2000,alpha_accumulate,0.0003852860000008729,3.852860000008728e-06
0.025,2000,compute_discriminant,0.04068766900000176,0.0004068766900000176
0.025,2000,data_gen_normal,3.066044291999998,0.030660442919999982
0.025,2000,inner_product,0.000676211000001703,6.7621100000170295e-06
0.05,100,alpha_accumulate,0.00016808299999981902,1.6808299999981902e-06
0.05,100,compute_discriminant,0.016094204,0.00016094204000000002
0.05,100,data_gen_normal,0.007462457000000033,7.462457000000033e-05
0.05,100,inner_product,0.00020512600000005543,2.0512600000005543e-06
0.05,200,alpha_accumulate,0.00016299900000002476,1.6299900000002475e-06
0.05,200,compute_discriminant,0.01572253600000012,0.0001572253600000012
0.05,200,data_gen_normal,0.01481458499999988,0.0001481458499999988
0.05,200,inner_product,0.00019662600000008856,1.9662600000008854e-06
0.05,500,alpha_accumulate,0.00015178800000004156,1.5178800000004157e-06
0.05,500,compute_discriminant,0.01625753699999999,0.00016257536999999988
0.05,500,data_gen_normal,0.06697742099999998,0.0006697742099999999
0.05,500,inner_product,0.00019883500000056342,1.9883500000056342e-06
0.05,1000,alpha_accumulate,0.000322455999999971,3.22455999999971e-06
0.05,1000,compute_discriminant,0.03178970800000064,0.0003178970800000064
0.05,1000,data_gen_normal,0.5027717069999996,0.005027717069999996
0.05,1000,inner_product,0.0009220830000007396,9.220830000007397e-06
0.05,2000,alpha_accumulate,0.00038591299999823914,3.8591299999823915e-06
0.05,2000,compute_discriminant,0.04136974899999879,0.0004136974899999879
0.05,2000,data_gen_normal,3.0431119170000023,0.030431119170000024
0.05,2000,inner_product,0.0006660420000020872,6.660420000020872e-06
0.1,100,alpha_accumulate,0.00017716700000000585,1.7716700000000584e-06
0.1,100,compute_discriminant,0.01684166900000003,0.00016841669000000031
0.1,100,data_gen_normal,0.007943254999999844,7.943254999999843e-05
0.1,100,inner_product,0.00021767500000011153,2.1767500000011155e-06
0.1,200,alpha_accumulate,0.00015579700000009633,1.5579700000009633e-06
0.1,200,compute_discriminant,0.01499679499999973,0.0001499679499999973
0.1,200,data_gen_normal,0.01448949399999988,0.0001448949399999988
0.1,200,inner_product,0.00018066500000005203,1.8066500000005204e-06
0.1,500,alpha_accumulate,0.00016687300000034488,1.668730000003449e-06
0.1,500,compute_discriminant,0.01640142000000039,0.0001640142000000039
0.1,500,data_gen_normal,0.06834095799999956,0.0006834095799999957
0.1,500,inner_product,0.0002082060000000996,2.082060000000996e-06
0.1,1000,alpha_accumulate,0.00033387799999995416,3.3387799999995417e-06
0.1,1000,compute_discriminant,0.03204812400000023,0.00032048124000000236
0.1,1000,data_gen_normal,0.48199841800000004,0.00481998418
0.1,1000,inner_product,0.0009448739999994848,9.44873999999485e-06
0.1,2000,alpha_accumulate,0.0003855849999989669,3.855849999989669e-06
0.1,2000,compute_discriminant,0.038471626999998065,0.00038471626999998066
0.1,2000,data_gen_normal,3.2200282090000023,0.032200282090000025
0.1,2000,inner_product,0.0007149129999998172,7.1491299999981715e-06
0.25,100,alpha_accumulate,0.0001712910000000456,1.712910000000456e-06
0.25,100,compute_discriminant,0.016232497000000012,0.00016232497000000012
0.25,100,data_gen_normal,0.007685800999999937,7.685800999999937e-05
0.25,100,inner_product,0.00020633300000003074,2.0633300000003072e-06
0.25,200,alpha_accumulate,0.0001651679999998823,1.651679999998823e-06
0.25,200,compute_discriminant,0.015680704999999934,0.00015680704999999933
0.25,200,data_gen_normal,0.014760873999999952,0.0001476087399999995
0.25,200,inner_product,0.00019266999999989487,1.9266999999989485e-06
0.25,500,alpha_accumulate,0.0002631249999998919,2.631249999998919e-06
0.25,500,compute_discriminant,0.02414779200000039,0.0002414779200000039
0.25,500,data_gen_normal,0.12049553999999979,0.001204955399999998
0.25,500,inner_product,0.00034937099999990395,3.4937099999990394e-06
0.25,1000,alpha_accumulate,0.000337705000000299,3.37705000000299e-06
0.25,1000,compute_discriminant,0.03150288299999959,0.00031502882999999594
0.25,1000,data_gen_normal,0.5041575479999991,0.0050415754799999915
0.25,1000,inner_product,0.0009177119999999039,9.17711999999904e-06
0.25,2000,alpha_accumulate,0.00036933700000219005,3.6933700000219006e-06
0.25,2000,compute_discriminant,0.03809145700000216,0.0003809145700000216
0.25,2000,data_gen_normal,3.0936437110000004,0.030936437110000003
0.25,2000,inner_product,0.00064625299999721,6.4625299999720995e-06
0.5,100,alpha_accumulate,0.00015766999999988762,1.5766999999988763e-06
0.5,100,compute_discriminant,0.015472539999999924,0.00015472539999999925
0.5,100,data_gen_normal,0.007228539000000006,7.228539000000006e-05
0.5,100,inner_product,0.00018166599999985822,1.8166599999985821e-06
0.5,200,alpha_accumulate,0.00015708699999991693,1.5708699999991694e-06
0.5,200,compute_discriminant,0.014933490000000077,0.00014933490000000076
0.5,200,data_gen_normal,0.01405254299999989,0.0001405254299999989
0.5,200,inner_product,0.00018757799999988278,1.875779999998828e-06
0.5,500,alpha_accumulate,0.000160243999999643,1.6024399999964301e-06
0.5,500,compute_discriminant,0.01652642499999979,0.0001652642499999979
0.5,500,data_gen_normal,0.06763861999999987,0.0006763861999999987
0.5,500,inner_product,0.00020562500000012585,2.0562500000012583e-06
0.5,1000,alpha_accumulate,0.0003377480000001376,3.377480000001376e-06
0.5,1000,compute_discriminant,0.031394167000000084,0.00031394167000000083
0.5,1000,data_gen_normal,0.4965955450000002,0.004965955450000002
0.5,1000,inner_product,0.0009819269999994384,9.819269999994385e-06
0.5,2000,alpha_accumulate,0.00041599300000083606,4.15993000000836e-06
0.5,2000,compute_discriminant,0.04169470700000111,0.0004169470700000111
0.5,2000,data_gen_normal,3.1623655859999995,0.031623655859999995
0.5,2000,inner_product,0.0007293750000011423,7.293750000011423e-06
