p,data_gen,computing_estimator,principal_angles
100,0.0079210799999999,0.0889099219999999,0.0046653710000004005
200,0.0149202499999999,0.0895652439999996,0.0043813699999965
500,0.0635130839999997,0.10165141499999811,0.0057839499999971
1000,0.2532068770000024,0.11094025699998661,0.0065907569999798
2000,1.3270245840000108,0.1279664129999885,0.0064185149999998
