,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.7228496137984326,0.7747310334737683,0.8303361622805016,0.8899322637164702,0.9538057837061634,1.0222637273898965,1.0956351347299274,1.174272662025912,1.2585542769412221,1.3488850751871548
500,0.4133164260758226,0.48548930355810005,0.5702649326259536,0.6698439924412578,0.78681144243521,0.9242036249228046,1.085587085104942,1.2751511545359695,1.4978167014185075,1.7593638707597923
1000,0.3346327823970935,0.4212777133790886,0.5303572187954744,0.6676801800701015,0.8405595456415564,1.058201772134314,1.3321971017455092,1.6771367849059622,2.1113901175728826,2.6580826732235785
2000,0.21758408448841562,0.29358247312697483,0.39612579536781173,0.5344857412108367,0.7211724429418725,0.9730656074763088,1.3129407338288408,1.771528412167197,2.3902929007035807,3.225181211835232
