,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.6889073007842819,0.7383525631281015,0.7913466831563526,0.8481443746730937,0.9090186331740614,0.9742620479869718,1.0441882085886978,1.1191332118586776,1.199457277513138,1.285546479484611
500,0.442386926049695,0.5196360635124505,0.6103743637134136,0.7169572899930712,0.8421516142109121,0.9892072390042908,1.1619415615742372,1.364838568986373,1.6031652373885386,1.883108256736777
1000,0.3840504850239012,0.4834909150084646,0.6086789992757698,0.7662814598137099,0.9646912023462106,1.2144742691679131,1.5289325194256356,1.9248120016234123,2.423194741770109,3.0506214381403947
2000,0.25326420820328993,0.34172505205832515,0.4610837513626535,0.6221323970546099,0.8394325723278246,1.132631971620432,1.5282408920341386,2.0620292227350085,2.7822606616379977,3.75405658850505
