p,data_gen,computing_estimator,principal_angles
100,0.0068055000000031,0.0283173009999994,0.001601165000001
200,0.0146920810000015,0.0290915890000008,0.001544791999997
500,0.0550873300000072,0.0335795290000033,0.0016225919999922
1000,0.2507987060000038,0.0385891700000059,0.0019626309999915
2000,1.1663819980000003,0.0508266579999938,0.0028378780000045
