,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.5935144117483021,0.6361129961446689,0.6817690284423076,0.7307019522636163,0.7831469614596054,0.8393561305583377,0.8995996263495746,0.9641670064290396,1.0333686109437037,1.1075370542274527
500,0.2969304954690972,0.34878018475851275,0.4096838119910884,0.481222366241243,0.5652529072246045,0.6639567724615945,0.7798962023249706,0.9160808528933174,1.0760459232087185,1.2639439250335969
1000,0.1825086458326595,0.22976477211087665,0.28925671034547845,0.36415262318590763,0.4584409911002449,0.5771430135042018,0.7265800059399038,0.9147100331793022,1.1515517051925086,1.4497177046617542
2000,0.10808178525694619,0.14583289899313492,0.1967698292379482,0.2654981555304197,0.3582321073461633,0.4833564379281322,0.6521845510090204,0.8799814281941558,1.1873438473336595,1.6020626874980446
