,ARG1,PCA1,ARG2,PCA2
100,0.20826984913781482,0.17068515545873575,0.16886530416901552,0.15241694418448773
200,0.23058785184404595,0.18058797996009773,0.1624417011996114,0.1446447397479467
500,0.23709719542106641,0.1830931667197392,0.1425034407829695,0.12656475142589724
1000,0.23553593176975915,0.18325935602087404,0.16750197605341502,0.14656216910249073
2000,0.23043878651944463,0.17976538742288609,0.14432364760908176,0.13089195289719438
