,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.7029524994033142,0.7534058342840315,0.8074803797056408,0.8654360424872355,0.927551383860251,0.9941249583602312,1.0654767488154933,1.141949704329894,1.2239113886519464,1.3117557468530998
500,0.388586179468056,0.4564406874253793,0.5361438778459673,0.6297647551385428,0.7397336110749199,0.8689051124075061,1.0206324047798814,1.1988541565839277,1.4081968023232907,1.6540946396049128
1000,0.3393324563041745,0.4271942522878591,0.5378056999775941,0.6770572623095434,0.8523645927612731,1.0730634459407538,1.3509068405622304,1.7006909505503645,2.141043055256232,2.6954135100074943
2000,0.3058337699778738,0.41265626007048745,0.5567900136982292,0.7512672152389495,1.0136719675413977,1.3677301989711208,1.8454548977168823,2.490040639644561,3.359769125082513,4.53327885261705
