,baseline,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,0.20416705865854554,0.20395927478907178,0.21606664613022003,0.23411590938198884,0.2639730053871945,0.31893756214021113
200,0.15395648722038613,0.15435836298523584,0.15307511152574188,0.16056640803494004,0.18182634955216895,0.2474340034550091
500,0.08818468945158131,0.08871731157227392,0.07329065934482369,0.06026541971638448,0.05529618087123628,0.10639339888855216
1000,0.07957049346389912,0.07984781998552604,0.06097202937617977,0.04234201033529328,0.02659814990743914,0.06209826561788119
2000,0.06847813310325417,0.0686201406274365,0.051382523016778085,0.03350717395065271,0.016357750538867594,0.03172665580387141
