,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.5262793910011536,0.5640522851547988,0.6045362707118669,0.6479259320896351,0.6944298197027633,0.7442714523512847,0.797690391553452,0.8549433929871743,0.9163056405743911,0.9820720691399512
500,0.2887715508752627,0.3391965338829894,0.3984266741287563,0.467999518863194,0.5497211002127861,0.6457128177251263,0.7584665074946746,0.8909091274010553,1.0464787376152973,1.2292137487417643
1000,0.17912315518894265,0.22550269190811023,0.2838910692711108,0.35739768128681937,0.44993702308829,0.5664371520728673,0.7131021249288494,0.897742386277347,1.1301907033292886,1.4228257965947642
2000,0.14466508509160014,0.19519411797133274,0.26337207534548907,0.3553634238198579,0.4794857724506852,0.646961928471219,0.8729346331840263,1.1778357276954206,1.5892335447565407,2.144325562887456
