,baseline,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,0.15328931707489565,0.1531584649908573,0.16122880331573497,0.1716289613334251,0.18442926958836284,0.2006701031010815
200,0.15847957842740382,0.1582830800266233,0.16698696211748848,0.1786355498720428,0.19366998774741265,0.21579254965612055
500,0.14330267410244205,0.14318980333780856,0.15383903788704673,0.1667725595364903,0.1821767918854466,0.20136989113568896
1000,0.1598944065956065,0.15983773965402667,0.17222930936778846,0.18704600470094004,0.20518046286063835,0.22852949105521078
2000,0.15919472692705236,0.15915866736988213,0.17049716486745325,0.18455150574861176,0.20239939946721888,0.22749886068251682
