,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.652971353761945,0.6998373687584508,0.7500671199265332,0.803902034258285,0.8616008667969727,0.9234409443312626,0.989719498353702,1.0607550936902301,1.1368891596673878,1.2184876311766926
500,0.4668402528275116,0.5483594043671955,0.6441133439901706,0.7565877353466235,0.8887022860462099,1.0438865399555046,1.2261689042663444,1.4402812223767278,1.6917816071776703,1.987198723358786
1000,0.3403831724882511,0.4285170255925763,0.5394709729049456,0.6791537167153581,0.8550038724874224,1.0763861022568357,1.3550898170332053,1.7059570059266107,2.147672626189303,2.703759645324429
2000,0.21278494509402687,0.28710707665853147,0.3873886539810555,0.5226968661999868,0.7052659160963661,0.9516032036376091,1.2839818804594385,1.732454728027569,2.3375714488985664,3.1540450612102746
