,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.6390385896170688,0.6849046018881952,0.7340625766727522,0.7867487895188687,0.8432164742888757,0.9037370403162337,0.9686013769220306,1.0381212515611464,1.1126308083182006,1.192488173955753
500,0.35309253773085303,0.4147491834816807,0.4871722475478706,0.5722417505164951,0.6721660001825229,0.7895389167140968,0.9274073678775717,1.0893502622683948,1.2795714537183585,1.5030088685722574
1000,0.21117800787481592,0.26585736052567455,0.3346945870782951,0.42135552086282146,0.5304551726139739,0.667803496621393,0.8407147919816715,1.058397215696974,1.3324431506131118,1.6774465420779303
2000,0.12061386107532804,0.1627422139406221,0.21958527786250287,0.2962826490215085,0.39976909638800817,0.5394015847862994,0.7278053063600902,0.982015216317473,1.325016287531611,1.7878217496545044
