,baseline,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,0.18344795279358111,0.18328313296242088,0.19020661308048847,0.2046727049130791,0.23174519634317658,0.2884260564375961
200,0.13625884038416644,0.13671717184380802,0.13593602943386665,0.140438550719081,0.15639064424823945,0.21357126517744232
500,0.09332056996446132,0.09350494341142462,0.07805624064517785,0.06568089681713543,0.06183568797156226,0.1117788930130597
1000,0.0677414159034969,0.06779498876221031,0.05078038239832356,0.03438766130550924,0.020541764616409355,0.0504164320328008
2000,0.059361834706379187,0.05950000671596821,0.042678800152022446,0.0270847672096048,0.012973290786029004,0.030118379736400466
