,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.6759489300655268,0.7244641252740324,0.7764614240282763,0.8321907489566468,0.8919199604999364,0.9559361443702508,1.0245469914152974,1.0980822765203164,1.1768954436559136,1.2613653046902862
500,0.4523707035124537,0.5313631976437819,0.6241492776122093,0.7331375647980033,0.8611572715011551,1.0115316440832485,1.1881642306731526,1.3956402128482883,1.6393454317469929,1.9256061983948267
1000,0.39470371622748246,0.49690253848837174,0.6255632328880404,0.7875374505668669,0.9914509092582207,1.248162744211607,1.5713437967427353,1.9782046363845602,2.4904120864735604,3.1352430615009004
2000,0.2567651079848905,0.3464487560850631,0.4674573641834177,0.6307322035113798,0.8510361436732553,1.1482884714085777,1.54936593865289,2.090532885793995,2.820720165299351,3.805949337125356
