,ARG1,PCA1,ARG2,PCA2
100,0.09578550272888135,0.0947331405658119,0.21430224551431712,0.19820898660492053
200,0.045314687988018805,0.062001749477348295,0.13315346459829952,0.13183111204551767
500,0.021534109975879748,0.06344376281844448,0.07641637438790126,0.0830564597990196
1000,0.011428443354741075,0.05388348157006222,0.0602370407460404,0.07185571651168235
2000,0.00914591126580367,0.04815381952253073,0.05744006305487027,0.06894718409846562
