,baseline,a^2=0,a^2=0.25,a^2=0.5,a^2=0.75,a^2=1
100,1.0139669872272767,1.0168826350809301,0.9597288716232114,0.8915556264485746,0.8048386700320755,0.681859553262449
200,0.9105760486043631,0.9129997546402432,0.8409798577913109,0.7491319931112238,0.6226570559030427,0.40417164533291117
500,0.8510276463560504,0.8523264736812908,0.7712068172141019,0.66527078412487,0.5121847567453873,0.18113227971700646
1000,0.8189765194651547,0.8197363381022741,0.7399856332970545,0.6347862585585209,0.4784745613087163,0.08907291583623823
2000,0.8078454423091337,0.8082578772300668,0.7301888513362239,0.6262164314386767,0.4698147225800615,0.04176218617244126
