,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.9577365919217627,1.0264766633216962,1.1001504476609945,1.1791120546004776,1.2637410094774364,1.3544440774767426,1.4516572187290233,1.555847683733011,1.6675162591736001,1.7871996749300578
500,0.8076884358759904,0.9487261368930704,1.1143916921973174,1.3089855916748816,1.537559272210595,1.8060462472591934,2.121416134123676,2.4918555773142224,2.9269807645528205,3.438087052097995
1000,0.5646221625764903,0.7108171885297212,0.8948658217801511,1.126569323185103,1.4182667491054817,1.7854920511515942,2.2478013157512318,2.8298141970635897,3.5625250033392604,4.4849532568559
2000,0.33853246475242577,0.45677604807110284,0.6163200868904541,0.8315901219179704,1.1220502877986847,1.5139632075539504,2.042764587961395,2.7562672203712655,3.718984084051836,5.017961435382122
