,alpha=0.1,alpha=0.2,alpha=0.3,alpha=0.4,alpha=0.5,alpha=0.6,alpha=0.7,alpha=0.8,alpha=0.9,alpha=1
100,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,0.572158456241105,0.6132242497649486,0.6572374774818,0.704409686949288,0.7549676092257442,0.809154248642623,0.8672300507936573,0.9294741543546434,0.9961857327506697,1.067685432119439
500,0.2959109725579064,0.3475826338341158,0.40827714598997894,0.4795700697097422,0.5633120884191046,0.6616770499275536,0.777218397051501,0.912935452093199,1.0723512758452967,1.2596041222524905
1000,0.20712518882270312,0.26075516363156587,0.3282713017523247,0.4132690837387527,0.5202749514276073,0.6549873574721911,0.8245802287256513,1.0380850040057696,1.306871591145314,1.6452538560447114
2000,0.1217039739971348,0.1642130846080434,0.2215698984252005,0.29896046350589667,0.4033822255410446,0.5442767179789202,0.7343832399570182,0.9908907092929444,1.3369918379680623,1.8039801544498548
